DateTime,AddedIPs,RemovedIPs
1495351737,2,1
1495355572,1,2
1495367060,9,16
1495370927,20,22
1495374801,5,8
1495378627,13,13
1495382564,10,2
1495386290,2,0
1495390127,1,2
1495394072,1,0
1495419416,6,4
1495423261,11,7
1495427085,23,17
1495430941,11,8
1495434778,10,5
1495438612,2,1
1495442453,1,0
1495446288,1,2
1495450135,3,0
1495453986,1,0
1495457806,0,2
1495461765,3,1
1495465743,1,1
1495469678,0,1
1495473391,1,1
1495477253,2,1
1495481084,9,6
1495484928,8,10
1495488767,5,6
1495492623,5,1
1495496432,7,7
1495500293,4,2
1495504130,38,22
1495507969,3,1
1495511801,14,1
1495515717,9,4
1495519734,4,2
1495523569,9,5
1495527403,8,9
1495531267,10,20
1495535077,14,26
1495538932,4,305
1495542761,20,0
1495546598,26,0
1495550444,19,0
1495554278,12,0
1495557982,22,0
1495561715,5,0
1495565555,4,0
1495569383,3,0
1495573323,7,0
1495577332,5,0
1495581169,1,0
1495584983,12,0
1495588854,4,0
1495592659,9,0
1495596501,19,0
1495600353,17,0
1495604195,9,3
1495608031,10,13
1495611858,1,0
1495615708,0,1
1495623387,11,7
1495627313,10,5
1495631093,11,6
1495635175,13,2
1495638989,8,4
1495643132,14,20
1495646970,6,12
1495650851,5,3
1495654620,7,13
1495658454,9,12
1495662278,39,11
1495666131,47,46
1495669969,32,19
1495673827,45,12
1495677752,40,65
1495681484,13,12
1495685313,3,5
1495689156,5,5
1495693018,1,0
1495696967,48,18
1495700697,34,40
1495704529,46,51
1495708369,19,51
1495712607,10,26
1495716282,3,7
1495720137,2,5
1495727809,9,9
1495731727,16,13
1495735732,25,38
1495739579,23,28
1495743392,21,27
1495747222,23,26
1495751087,26,23
1495754937,9,9
1495758747,3,4
1495762586,5,8
1495766420,4,5
1495770265,5,2
1495774120,3,4
1495777950,8,8
1495781780,17,16
1495786131,8,14
1495789938,5,2
1495793797,7,1
1495797645,10,4
1495801480,2,1
1495805161,1,1
1495808920,2,1
1495816595,5,6
1495820397,8,13
1495824275,21,38
1495827946,15,18
1495831968,8,9
1495835811,29,23
1495839711,23,8
1495843754,18,10
1495847571,11,4
1495851388,1,1
1495855250,2,1
1495859066,0,1
1495862929,3,0
1495866764,5,6
1495870599,5,4
1495874425,11,1
1495878267,2,2
1495882113,3,3
1495889797,3,2
1495901567,2,3
1495905394,15,6
1495909249,10,7
1495913085,11,9
1495916919,9,5
1495920772,12,9
1495924588,12,3
1495928455,1,0
1495932282,1,2
1495936130,3,2
1495939970,2,0
1495943809,11,4
1495947721,12,4
1495951483,7,1
1495955306,1,0
1495962974,1,1
1495966864,4,1
1495970696,11,9
1495974530,5,7
1495978374,2,0
1495982204,3,0
1495986043,3,4
1495989885,3,0
1495993558,12,8
1495997324,15,9
1496001169,14,5
1496005369,1,1
1496020868,11,2
1496024683,7,4
1496028506,7,5
1496036208,2,7
1496040033,7,12
1496043886,11,29
1496047728,9,17
1496051565,11,25
1496055404,11,43
1496059424,4,24
1496063313,11,30
1496071115,5,16
1496074859,1,0
1496078691,2,7
1496082529,1,5
1496086366,6,13
1496090208,5,15
1496094055,1,1
1496097879,0,1
1496101726,3,6
1496105540,1,8
1496109385,2,3
1496113299,8,19
1496116962,9,26
1496120685,6,5
1496124514,11,10
1496128376,1,3
1496132210,2,0
1496139858,1,1
1496143702,2,0
1496151394,0,2
1496155234,5,1
1496159065,10,10
1496162906,1,2
1496166748,4,2
1496174502,6,6
1496178281,14,12
1496182441,8,8
1496186206,9,4
1496190049,9,7
1496193886,23,18
1496197727,13,15
1496201564,17,10
1496205406,8,7
1496209241,13,7
1496213066,6,3
1496216908,13,8
1496220785,8,7
1496224592,13,9
1496228514,10,14
1496232284,12,7
1496236119,13,9
1496240208,2,3
1496244048,4,2
1496247862,14,6
1496251971,13,15
1496255813,7,5
1496259646,31,31
1496263491,10,12
1496267313,12,8
1496271144,12,14
1496275009,8,8
1496278902,18,17
1496282681,9,6
1496286606,7,5
1496290435,2,7
1496294188,3,5
1496298206,12,6
1496301923,5,2
1496305729,9,17
1496309807,10,18
1496313671,7,12
1496317479,3,1
1496321304,9,2
1496325164,4,0
1496459740,5,0
1496464539,9,3
1496469201,20,14
1496473877,5,5
1496478264,10,9
1496482272,13,22
1496486283,10,12
1496489956,10,7
1496493898,4,4
1496497736,6,3
1496501574,3,9
1496505262,1,6
1496516701,35,16
1496520514,12,8
1496524200,6,5
1496531813,0,2
1496535839,1,2
1496539695,11,4
1496543557,14,8
1496547403,19,7
1496551244,6,4
1496574273,5,3
1496585806,2,1
1496589660,0,1
1496628101,10,14
1496639311,5,9
1496643166,1,0
1496689298,28,34
1496693081,18,25
1496696921,10,22
1496704625,27,52
1496708478,16,46
1496712286,6,14
1496716129,4,12
1496719981,3,5
1496723813,8,7
1496731485,12,15
1496735349,11,12
1496739157,1,0
1496743001,3,1
