DateTime,Entries,UniqueIPs
1495344054,263,263
1495347883,258,258
1495351737,259,259
1495355572,258,258
1495367060,251,251
1495370927,249,249
1495374801,246,246
1495378627,246,246
1495382564,254,254
1495386290,256,256
1495390127,255,255
1495394072,256,256
1495419416,258,258
1495423261,262,262
1495427085,268,268
1495430941,271,271
1495434778,276,276
1495438612,277,277
1495442453,278,278
1495446288,277,277
1495450135,280,280
1495453986,281,281
1495457806,279,279
1495461765,281,281
1495465743,281,281
1495469678,280,280
1495473391,280,280
1495477253,281,281
1495481084,284,284
1495484928,282,282
1495488767,281,281
1495492623,285,285
1495496432,285,285
1495500293,287,287
1495504130,303,303
1495507969,305,305
1495511801,318,318
1495515717,323,323
1495519734,325,325
1495523569,329,329
1495527403,328,328
1495531267,318,318
1495535077,306,306
1495538932,5,5
1495542761,25,25
1495546598,51,51
1495550444,70,70
1495554278,82,82
1495557982,104,104
1495561715,109,109
1495565555,113,113
1495569383,116,116
1495573323,123,123
1495577332,128,128
1495581169,129,129
1495584983,141,141
1495588854,145,145
1495592659,154,154
1495596501,173,173
1495600353,190,190
1495604195,196,196
1495608031,193,193
1495611858,194,194
1495615708,193,193
1495623387,197,197
1495627313,202,202
1495631093,207,207
1495635175,218,218
1495638989,222,222
1495643132,216,216
1495646970,210,210
1495650851,212,212
1495654620,206,206
1495658454,203,203
1495662278,231,231
1495666131,232,232
1495669969,245,245
1495673827,278,278
1495677752,253,253
1495681484,254,254
1495685313,252,252
1495689156,252,252
1495693018,253,253
1495696967,283,283
1495700697,277,277
1495704529,272,272
1495708369,240,240
1495712607,224,224
1495716282,220,220
1495720137,217,217
1495727809,217,217
1495731727,220,220
1495735732,207,207
1495739579,202,202
1495743392,196,196
1495747222,193,193
1495751087,196,196
1495754937,196,196
1495758747,195,195
1495762586,192,192
1495766420,191,191
1495770265,194,194
1495774120,193,193
1495777950,193,193
1495781780,194,194
1495786131,188,188
1495789938,191,191
1495793797,197,197
1495797645,203,203
1495801480,204,204
1495805161,204,204
1495808920,205,205
1495816595,204,204
1495820397,199,199
1495824275,182,182
1495827946,179,179
1495831968,178,178
1495835811,184,184
1495839711,199,199
1495843754,207,207
1495847571,214,214
1495851388,214,214
1495855250,215,215
1495859066,214,214
1495862929,217,217
1495866764,216,216
1495870599,217,217
1495874425,227,227
1495878267,227,227
1495882113,227,227
1495889797,228,228
1495901567,227,227
1495905394,236,236
1495909249,239,239
1495913085,241,241
1495916919,245,245
1495920772,248,248
1495924588,257,257
1495928455,258,258
1495932282,257,257
1495936130,258,258
1495939970,260,260
1495943809,267,267
1495947721,275,275
1495951483,281,281
1495955306,282,282
1495962974,282,282
1495966864,285,285
1495970696,287,287
1495974530,285,285
1495978374,287,287
1495982204,290,290
1495986043,289,289
1495989885,292,292
1495993558,296,296
1495997324,302,302
1496001169,311,311
1496005369,311,311
1496020868,320,320
1496024683,323,323
1496028506,325,325
1496036208,320,320
1496040033,315,315
1496043886,297,297
1496047728,289,289
1496051565,275,275
1496055404,243,243
1496059424,223,223
1496063313,204,204
1496071115,193,193
1496074859,194,194
