DateTime,AddedIPs,RemovedIPs
1495523573,30,51
1495527407,30,58
1495531274,40,37
1495535082,40,59
1495538933,12,228
1495542763,76,0
1495546600,84,0
1495550446,48,0
1495554282,175,187
1495557986,122,94
1495561717,167,236
1495565559,168,167
1495569386,174,168
1495573328,131,149
1495577338,187,156
1495581173,206,187
1495584987,289,206
1495588859,343,289
1495592663,208,343
1495596505,228,208
1495600357,344,206
1495604197,79,101
1495608038,109,223
1495611861,181,222
1495615711,178,188
1495619548,200,179
1495623392,178,200
1495627317,177,177
1495631097,209,178
1495635178,176,209
1495638992,169,176
1495643137,126,81
1495646973,50,20
1495650854,53,27
1495654624,47,30
1495658461,61,71
1495662283,49,85
1495666135,56,34
1495669976,55,38
1495673831,52,25
1495677754,82,148
1495681486,51,78
1495685316,46,54
1495689159,104,66
1495693023,187,240
1495696970,188,191
1495700700,56,25
1495704534,111,51
1495708371,124,113
1495712611,34,74
1495716285,188,214
1495720140,195,224
1495723967,194,195
1495727815,110,122
1495731735,132,42
1495735736,96,56
1495739583,191,312
1495743394,142,116
1495747226,54,25
1495751091,89,57
1495754940,44,51
1495758750,18,24
1495762589,48,59
1495766424,158,235
1495770268,168,165
1495774122,60,50
1495777954,213,109
1495781783,353,230
1495786136,251,417
1495789942,260,251
1495793801,274,260
1495797648,272,274
1495801483,181,272
1495805164,204,181
1495808924,178,203
1495812763,183,179
1495816599,194,146
1495820399,124,72
1495824278,212,194
1495827948,347,247
1495831971,311,305
1495835817,346,360
1495839716,329,389
1495843757,371,304
1495847574,163,151
1495851391,94,88
1495855254,22,33
1495859068,65,59
1495862934,40,91
1495866766,43,76
1495870602,61,52
1495874428,44,20
1495878270,31,41
1495882115,30,15
1495885949,11,4
1495889802,22,82
1495893906,17,7
1495897739,13,7
1495901569,25,96
1495905397,46,4
1495909251,57,16
1495913088,114,26
1495916923,62,58
1495920776,75,72
1495924590,48,81
1495928457,18,34
1495932286,34,62
1495936132,22,24
1495939972,43,51
1495943813,50,55
1495947723,59,56
1495951485,42,36
1495955309,25,23
1495959156,11,2
1495962977,39,73
1495966866,29,22
1495970699,54,66
1495974532,65,21
1495978376,23,19
1495982206,27,24
1495986046,47,73
1495989887,7,9
1495993562,39,32
1495997327,110,98
1496001173,104,36
1496005372,72,74
1496009101,19,76
1496012908,13,13
1496016765,47,90
1496020871,49,55
1496024685,58,47
1496028508,66,25
1496032353,11,24
1496036212,60,77
1496040039,37,83
1496043890,56,97
1496047734,67,67
1496051569,115,90
1496055409,35,44
