DateTime,AddedIPs,RemovedIPs
1495500302,94,94
1495504136,91,95
1495507976,102,100
1495511824,71,71
1495515736,102,101
1495519745,75,77
1495523579,166,444
1495527410,153,168
1495531281,146,153
1495535091,80,80
1495538935,119,146
1495542766,236,118
1495546602,273,237
1495550449,212,273
1495554286,231,212
1495557990,252,231
1495561720,165,252
1495565562,165,165
1495569388,165,165
1495573331,159,165
1495577340,165,159
1495581177,180,165
1495584990,186,180
1495588861,196,184
1495592669,204,198
1495596508,204,204
1495600359,205,204
1495604200,104,155
1495608043,180,154
1495611864,170,180
1495615714,169,170
1495619552,169,169
1495623396,202,169
1495627319,184,202
1495631102,189,184
1495635180,183,189
1495638994,173,183
1495643143,159,173
1495646975,100,118
1495650857,36,53
1495654628,130,87
1495658463,180,166
1495662286,229,179
1495666136,232,224
1495669980,231,233
1495673836,220,188
1495677757,200,269
1495681489,152,199
1495685320,121,137
1495689163,108,72
1495693026,191,173
1495696973,232,190
1495700703,195,128
1495704537,237,299
1495708374,169,238
1495712614,170,168
1495716287,190,171
1495720143,191,190
1495723970,190,191
1495727821,175,189
1495731744,230,176
1495735740,249,230
1495739587,225,249
1495743399,238,225
1495747229,205,237
1495751093,236,206
1495754942,188,236
1495758754,151,188
1495762594,177,151
1495766427,151,177
1495770271,158,151
1495774125,113,137
1495777961,177,134
1495781786,184,168
1495786142,191,192
1495789945,191,192
1495793806,197,191
1495797651,183,197
1495801487,173,183
1495805168,177,173
1495808928,176,177
1495812768,177,176
1495816603,175,177
1495820403,176,175
1495824283,196,176
1495827952,199,196
1495831973,224,199
1495835823,229,224
1495839721,233,229
1495843762,225,233
1495847577,56,46
1495851394,6,1
1495855257,7,3
1495859071,7,2
1495862939,28,13
1495866769,112,35
1495870605,117,53
1495874431,131,96
1495878273,27,30
1495882118,3,4
1495885951,4,3
1495889805,4,6
1495893908,1,4
1495897741,3,3
1495901571,16,20
1495905401,277,268
1495909254,231,219
1495913091,226,226
1495916927,368,369
1495920778,282,285
1495924593,374,370
1495928460,15,15
1495932289,15,17
1495936134,8,10
1495939974,10,10
1495943816,103,107
1495947727,93,98
1495951488,72,80
1495955311,1,4
1495959160,1,6
1495962980,7,10
1495966869,45,62
1495970702,53,55
1495974535,72,82
1495978378,30,32
1495982210,1,1
1495986049,5,8
1495989889,1,1
1495993564,73,65
1495997330,79,59
1496001176,72,76
1496005374,21,22
1496009104,4,3
1496012911,2,2
1496016768,2,7
1496020875,120,98
1496024690,80,82
1496028511,61,74
1496032356,3,4
1496036217,149,404
1496040044,146,153
1496043895,140,146
1496047740,122,135
1496051573,157,127
1496055414,145,157
1496059434,143,145
1496063319,156,143
1496067143,149,156
1496071124,157,149
1496074874,149,157
1496078700,148,149
1496082544,150,148
1496086375,145,150
1496090218,161,145
1496094069,152,161
1496097891,148,152
1496101736,141,148
1496105550,152,141
1496109392,154,152
1496113308,153,154
1496117080,149,153
1496120910,108,119
1496124770,160,138
1496128596,171,160
1496132432,175,171
1496136273,174,175
1496140116,173,174
1496143976,174,173
1496147793,173,174
1496151629,173,173
1496155469,173,173
1496159319,158,173
1496163165,153,158
1496167014,119,129
1496170944,77,71
1496174688,177,149
1496178515,159,177
1496182449,130,131
1496186214,150,146
1496190060,125,126
1496193897,147,160
1496197738,169,148
1496201573,178,169
1496205416,140,162
1496209248,169,156
1496213076,193,169
1496216920,164,193
1496220794,104,66
1496224601,186,202
1496228522,188,186
1496232293,196,188
1496236134,195,196
1496240218,198,195
1496244057,192,198
1496247870,184,192
1496251983,205,184
1496255825,175,205
1496259655,195,175
1496263499,196,195
1496267323,217,196
1496271153,177,217
1496275018,175,177
1496278913,219,175
1496282689,178,219
1496286615,193,178
1496290443,176,193
1496294197,194,176
1496298215,198,194
1496301931,136,148
1496305743,179,186
1496309815,167,179
1496313679,183,167
1496317487,199,183
1496321314,198,199
1496325173,205,198
1496459748,253,187
1496464547,197,271
1496469239,167,197
1496478321,201,167
1496482330,161,168
1496486315,123,136
1496490437,162,181
1496494163,91,76
1496497971,74,94
1496502099,188,156
1496506145,202,183
1496513814,233,208
1496517670,245,231
1496521720,154,56
1496525587,31,26
1496529407,0,2
1496533277,4,5
1496537090,5,4
1496540926,89,46
1496544769,90,63
1496548581,73,85
1496552543,26,28
1496556273,1,2
1496575728,8,15
1496579577,5,9
1496583398,2,4
1496591093,12,16
1496594918,6,1
1496610279,19,27
1496629737,11,35
1496633564,2,7
1496637403,2,4
1496641239,4,11
1496645080,0,5
1496652755,1,5
1496687320,82,217
1496691161,130,198
1496695011,125,133
1496698847,126,125
1496702693,129,126
1496706544,127,129
1496710378,132,127
1496718185,132,132
1496721881,124,132
1496725719,129,124
1496729561,129,129
1496733447,122,129
1496737258,133,122
1496741063,128,133
1496744947,132,128
1496748779,133,132
1496752623,126,133
1496756464,135,126
1496760264,137,135
1496764117,136,137
1496767971,128,136
1496771848,139,128
1496775715,135,139
1496779725,136,135
1496783554,139,136
1496787426,136,139
1496791276,135,136
1496795091,131,135
1496798915,130,131
1496802761,133,130
1496806631,132,133
1496810444,127,132
1496814291,124,127
1496818121,59,55
1496821954,136,128
1496825803,133,136
1496829751,105,104
1496833482,109,122
1496837350,124,120
1496841187,133,125
1496844997,131,133
1496848835,158,131
1496852929,169,157
1496856776,170,170
1496860604,170,169
1496864444,174,170
1496868286,147,175
1496872374,153,147
1496876217,152,153
1496880153,155,152
1496883889,164,155
1496887716,171,164
1496891605,182,171
1496895426,172,182
1496899269,190,172
1496906942,178,190
1496910801,134,178
1496914627,145,134
1496918456,158,145
1496922285,146,158
1496926173,136,146
1496929976,135,136
1496933798,208,134
1496937711,213,209
1496941517,202,213
1496945327,218,202
1496949176,216,218
1496953097,204,216
1496956847,189,204
1496960705,145,189
1496964528,143,145
1496968367,161,143
1496972224,142,161
1496976037,143,142
1496979891,253,143
1496983613,200,253
1496987597,221,200
1496991385,218,193
1496995294,243,100
1496999338,33,17
1497003177,2,0
1497007019,2,1
1497014684,6,5
1497018533,2,1
1497022372,148,113
1497037810,426,421
1497045761,51,53
1497053341,4,6
1497064870,377,378
1497068686,228,223
1497072541,277,276
1497076369,164,164
1497084035,3,4
1497087869,1,1
1497095569,95,97
1497099409,78,76
1497103333,58,83
1497111172,3,4
1497123189,4,2
1497127017,97,93
1497130853,265,245
1497138537,444,445
1497142380,295,293
1497146223,242,242
1497150177,1,1
1497165402,84,90
1497169248,214,214
1497173094,185,180
1497176934,219,220
1497180771,154,153
1497184616,2,2
1497188455,1,1
1497192284,3,3
1497203801,341,342
1497207700,222,220
1497211485,201,201
1497215334,37,37
1497219176,2,3
1497222855,1,2
1497226590,4,8
1497230437,0,1
1497234276,239,252
1497238115,205,429
1497241958,218,207
1497245809,204,218
1497249638,162,204
1497253480,149,162
1497257320,166,149
1497261188,156,166
1497265008,216,156
1497268945,193,216
1497272983,227,193
1497276782,205,227
1497280631,166,205
1497284457,154,166
1497288276,157,154
1497292113,149,157
1497295972,159,149
1497299820,177,159
1497303630,226,177
1497307459,201,222
1497311393,225,205
1497315164,228,225
1497319006,162,228
1497322929,158,162
1497326682,157,158
1497330544,154,157
1497334362,190,154
1497338219,184,190
1497342061,176,184
1497345872,171,176
1497349728,184,171
1497353561,162,184
1497357402,163,162
1497361249,164,163
1497365079,168,164
1497368934,167,168
1497372774,167,167
1497376889,166,167
1497380705,167,166
1497384552,189,167
1497388364,179,189
1497392194,184,179
1497396067,176,184
1497399884,176,176
1497403715,145,163
1497407547,194,158
1497411394,186,194
1497415218,196,186
1497419071,192,196
1497422899,197,192
1497426753,178,197
1497430585,167,178
1497434493,173,166
1497438165,178,174
1497441885,172,178
1497445707,194,172
1497449572,182,194
1497453427,198,182
1497457262,187,198
1497461101,183,187
1497480274,171,183
1497483965,204,171
1497491576,174,204
1497495402,188,174
1497499328,189,188
1497503090,181,189
1497506906,194,181
1497510767,177,194
1497514616,183,177
1497518439,151,183
1497522526,165,151
1497526364,159,165
1497530199,157,159
1497534034,155,157
1497537877,172,155
1497541719,157,172
1497545551,165,157
1497549396,160,165
1497553335,157,160
1497557328,162,157
1497561171,157,162
1497565018,150,157
1497568850,156,150
1497572677,145,156
1497576502,155,145
1497580391,246,155
1497584192,260,246
1497588063,218,260
1497591875,230,218
1497595722,250,230
1497599574,246,250
1497603393,145,246
1497607341,148,145
1497611078,149,148
1497614934,145,149
1497618773,146,145
1497622880,147,146
1497626682,146,146
1497630509,145,147
1497634379,146,145
1497638194,146,146
1497642069,153,146
1497645885,157,153
1497649737,182,157
1497653562,176,182
1497657404,170,176
1497661399,157,170
1497665090,205,157
1497668963,206,205
1497672819,219,206
1497676895,194,216
1497680766,212,197
1497688431,202,212
1497692216,215,202
1497696090,222,215
1497704013,201,222
1497707808,253,201
1497711799,216,85
1497715489,238,172
1497719337,258,257
1497723169,238,239
1497727306,236,235
1497731081,187,187
1497738626,448,448
1497742344,230,230
1497750062,166,166
1497761580,21,21
1497765378,86,90
1497780787,123,136
