DateTime,Entries,UniqueIPs
1495507976,447,447
1495511824,447,447
1495515736,448,448
1495519745,446,446
1495523579,168,168
1495527410,153,153
1495531281,146,146
1495535091,146,146
1495538935,119,119
1495542766,237,237
1495546602,273,273
1495550449,212,212
1495554286,231,231
1495557990,252,252
1495561720,165,165
1495565562,165,165
1495569388,165,165
1495573331,159,159
1495577340,165,165
1495581177,180,180
1495584990,186,186
1495588861,198,198
1495592669,204,204
1495596508,204,204
1495600359,205,205
1495604200,154,154
1495608043,180,180
1495611864,170,170
1495615714,169,169
1495619552,169,169
1495623396,202,202
1495627319,184,184
1495631102,189,189
1495635180,183,183
1495638994,173,173
1495643143,159,159
1495646975,141,141
1495650857,124,124
1495654628,167,167
1495658463,181,181
1495662286,231,231
1495666136,239,239
1495669980,237,237
1495673836,269,269
1495677757,200,200
1495681489,153,153
1495685320,137,137
1495689163,173,173
1495693026,191,191
1495696973,233,233
1495700703,300,300
1495704537,238,238
1495708374,169,169
1495712614,171,171
1495716287,190,190
1495720143,191,191
1495723970,190,190
1495727821,176,176
1495731744,230,230
1495735740,249,249
1495739587,225,225
1495743399,238,238
1495747229,206,206
1495751093,236,236
1495754942,188,188
1495758754,151,151
1495762594,177,177
1495766427,151,151
1495770271,158,158
1495774125,134,134
1495777961,177,177
1495781786,193,193
1495786142,192,192
1495789945,191,191
1495793806,197,197
1495797651,183,183
1495801487,173,173
1495805168,177,177
1495808928,176,176
1495812768,177,177
1495816603,175,175
1495820403,176,176
1495824283,196,196
1495827952,199,199
1495831973,224,224
1495835823,229,229
1495839721,233,233
1495843762,225,225
1495847577,235,235
1495851394,240,240
1495855257,244,244
1495859071,249,249
1495862939,264,264
1495866769,341,341
1495870605,405,405
1495874431,440,440
1495878273,437,437
1495882118,436,436
1495885951,437,437
1495889805,435,435
1495893908,432,432
1495897741,432,432
1495901571,428,428
1495905401,437,437
1495909254,449,449
1495913091,449,449
1495916927,448,448
1495920778,445,445
1495924593,449,449
1495928460,449,449
1495932289,447,447
1495936134,445,445
1495939974,445,445
1495943816,441,441
1495947727,436,436
1495951488,428,428
1495955311,425,425
1495959160,420,420
1495962980,417,417
1495966869,400,400
1495970702,398,398
1495974535,388,388
1495978378,386,386
1495982210,386,386
1495986049,383,383
1495989889,383,383
1495993564,391,391
1495997330,411,411
1496001176,407,407
1496005374,406,406
1496009104,407,407
1496012911,407,407
1496016768,402,402
1496020875,424,424
1496024690,422,422
1496028511,409,409
1496032356,408,408
1496036217,153,153
1496040044,146,146
1496043895,140,140
1496047740,127,127
1496051573,157,157
1496055414,145,145
1496059434,143,143
1496063319,156,156
1496067143,149,149
1496071124,157,157
1496074874,149,149
1496078700,148,148
1496082544,150,150
1496086375,145,145
1496090218,161,161
1496094069,152,152
1496097891,148,148
1496101736,141,141
1496105550,152,152
1496109392,154,154
1496113308,153,153
1496117080,149,149
1496120910,138,138
1496124770,160,160
1496128596,171,171
1496132432,175,175
1496136273,174,174
1496140116,173,173
1496143976,174,174
1496147793,173,173
1496151629,173,173
1496155469,173,173
1496159319,158,158
1496163165,153,153
1496167014,143,143
1496170944,149,149
1496174688,177,177
1496178515,159,159
1496182449,158,158
1496186214,162,162
1496190060,161,161
1496193897,148,148
1496197738,169,169
1496201573,178,178
1496205416,156,156
1496209248,169,169
1496213076,193,193
1496216920,164,164
1496220794,202,202
1496224601,186,186
1496228522,188,188
1496232293,196,196
1496236134,195,195
1496240218,198,198
1496244057,192,192
1496247870,184,184
1496251983,205,205
1496255825,175,175
1496259655,195,195
1496263499,196,196
1496267323,217,217
1496271153,177,177
1496275018,175,175
1496278913,219,219
1496282689,178,178
1496286615,193,193
1496290443,176,176
1496294197,194,194
1496298215,198,198
1496301931,186,186
1496305743,179,179
1496309815,167,167
1496313679,183,183
1496317487,199,199
1496321314,198,198
1496325173,205,205
1496459748,271,271
1496464547,197,197
1496469239,167,167
1496478321,201,201
1496482330,194,194
1496486315,181,181
1496490437,162,162
1496494163,177,177
1496497971,157,157
1496502099,189,189
1496506145,208,208
1496513814,233,233
1496517670,247,247
1496521720,345,345
1496525587,350,350
1496529407,348,348
1496533277,347,347
1496537090,348,348
1496540926,391,391
1496544769,418,418
1496548581,406,406
1496552543,404,404
1496556273,403,403
1496575728,396,396
1496579577,392,392
1496583398,390,390
1496591093,386,386
1496594918,391,391
1496610279,383,383
1496629737,359,359
1496633564,354,354
1496637403,352,352
1496641239,345,345
1496645080,340,340
1496652755,336,336
1496687320,201,201
1496691161,133,133
1496695011,125,125
1496698847,126,126
