DateTime,Entries,UniqueIPs
1494786078,115,115
1494789886,117,117
1494793734,115,115
1494797573,114,114
1494801481,112,112
1494809095,112,112
1494812973,111,111
1494816780,109,109
1494820638,107,107
1494824528,106,106
1494828296,106,106
1494832127,107,107
1494835977,106,106
1494839820,104,104
1494843665,110,110
1494847496,109,109
1494851407,110,110
1494866885,106,106
1494870779,104,104
1494874655,103,103
1494878559,103,103
1494897714,101,101
1494901563,103,103
1494905402,104,104
1494909245,104,104
1494920970,105,105
1494928684,104,104
1494963467,107,107
1494990402,106,106
1495009563,107,107
1495021117,110,110
1495025140,113,113
1495032757,113,113
1495067551,115,115
1495071400,118,118
1495079122,117,117
1495082919,116,116
1495086774,113,113
1495094544,114,114
1495102140,116,116
1495105975,116,116
1495109811,112,112
1495121336,112,112
1495129011,114,114
1495132836,113,113
1495136675,115,115
1495140508,116,116
1495144382,117,117
1495155886,116,116
1495163569,117,117
1495171247,118,118
1495175084,113,113
1495178924,110,110
1495182778,108,108
1495190428,109,109
1495198105,110,110
1495201972,108,108
1495205807,108,108
1495217082,110,110
1495220918,111,111
1495228568,112,112
1495232284,111,111
1495239923,110,110
1495243788,108,108
1495247573,109,109
1495251451,111,111
1495255264,110,110
1495259130,111,111
1495262982,110,110
1495270664,111,111
1495274605,112,112
1495278581,113,113
1495282404,114,114
1495286498,114,114
1495290320,116,116
1495305727,113,113
1495309535,116,116
1495313387,114,114
1495317195,114,114
1495321010,110,110
1495324984,111,111
1495328721,106,106
1495332563,107,107
1495336410,108,108
1495340278,108,108
1495344071,108,108
1495347900,106,106
1495359435,109,109
1495363251,110,110
1495370941,111,111
1495378652,111,111
1495382582,110,110
1495386318,109,109
1495390151,107,107
1495394096,109,109
1495397862,105,105
1495420387,108,108
1495424201,109,109
1495428046,108,108
1495431879,109,109
1495439577,107,107
1495443424,103,103
1495447358,106,106
1495451087,107,107
1495454938,108,108
1495458782,106,106
1495466446,105,105
1495470290,103,103
1495474122,103,103
1495485634,103,103
1495489490,105,105
1495508711,104,104
1495516375,105,105
1495524056,106,106
1495527901,107,107
1495535576,105,105
1495543233,1,1
1495547090,13,13
1495554759,16,16
1495558598,19,19
1495562538,20,20
1495566291,23,23
1495570135,26,26
1495573978,28,28
1495577807,32,32
1495581628,36,36
1495585460,37,37
1495589318,39,39
1495593164,40,40
1495596988,45,45
1495604683,47,47
1495608499,50,50
1495612352,51,51
1495616195,52,52
1495620098,57,57
1495624140,70,70
1495631791,72,72
1495635674,73,73
1495639469,74,74
1495643146,75,75
1495650860,77,77
1495654630,82,82
1495658467,83,83
1495662290,84,84
1495666140,85,85
1495669983,87,87
1495677760,89,89
1495681492,91,91
1495685322,94,94
1495689165,95,95
1495693031,97,97
1495696976,103,103
1495700706,106,106
1495708377,110,110
1495712618,116,116
1495716290,117,117
1495720147,119,119
1495723974,120,120
1495727827,121,121
1495731756,125,125
1495735746,126,126
1495739592,129,129
1495743404,135,135
1495751099,136,136
1495754947,137,137
1495758758,139,139
1495762600,140,140
1495766434,145,145
1495770276,150,150
1495774129,150,150
1495777967,148,148
1495781791,154,154
1495786147,148,148
1495793812,147,147
1495797656,148,148
1495801491,147,147
1495805172,142,142
1495808933,143,143
1495812772,146,146
1495816607,140,140
1495820407,138,138
1495824287,140,140
1495827957,142,142
1495831977,158,158
1495835829,159,159
1495839725,158,158
1495843768,157,157
1495851398,157,157
1495859074,155,155
1495862947,151,151
1495866772,152,152
1495870608,153,153
1495874434,152,152
1495878276,156,156
1495882121,160,160
