DateTime,AddedIPs,RemovedIPs
1495351770,2,5
1495355603,4,3
1495359449,5,5
1495363276,1,1
1495367089,4,3
1495370957,2,3
1495374875,4,6
1495378679,5,11
1495382602,6,3
1495386338,1,1
1495394123,6,2
1495397894,9,1
1495418914,1,1
1495422759,5,3
1495426579,3,2
1495430457,3,2
1495434281,5,4
1495438136,3,1
1495441984,2,10
1495449647,6,3
1495453492,2,2
1495457341,0,2
1495461172,6,5
1495464999,1,2
1495468927,3,8
1495472687,5,6
1495476526,2,2
1495480358,6,6
1495484196,8,9
1495488070,5,4
1495492185,3,4
1495495977,2,0
1495499811,3,2
1495503641,4,1
1495507484,2,2
1495511578,1,0
1495515422,2,5
1495519358,3,1
1495523088,5,2
1495526934,2,1
1495530849,3,2
1495534625,6,6
1495542264,6,186
1495546126,11,0
1495549991,5,0
1495553803,4,0
1495557621,5,0
1495561467,2,0
1495565330,5,0
1495569169,8,0
1495573005,9,0
1495576921,3,0
1495580938,5,0
1495584764,2,0
1495592458,7,0
1495596284,5,0
1495603958,5,0
1495607803,5,0
1495611654,6,0
1495615482,2,0
1495619331,2,0
1495623179,3,0
1495627010,3,0
1495630743,4,0
1495634716,5,0
1495638518,4,0
1495642371,7,0
1495646191,6,0
1495650237,4,0
1495654130,2,0
1495657973,3,0
1495661813,1,0
1495665678,4,0
1495669502,5,0
1495673327,4,0
1495681018,2,0
1495684920,2,0
1495688935,2,0
1495693040,6,0
1495696984,3,0
1495700714,6,0
1495704551,2,0
1495708385,6,0
1495712625,2,0
1495716298,6,0
1495720154,4,0
1495723985,1,0
1495727840,1,3
1495731778,9,8
1495735759,4,10
1495739606,6,7
1495743413,7,5
1495747243,5,1
1495751108,6,3
1495754957,1,2
1495758767,1,1
1495762609,3,5
1495766446,3,3
1495770283,3,3
1495774137,3,1
1495777978,2,4
1495781800,3,3
1495786162,3,6
1495789957,4,1
1495793822,4,4
1495797664,2,5
1495801499,3,1
1495805181,4,12
1495808943,2,4
1495812779,1,1
1495816617,2,6
1495820415,5,10
1495824303,5,5
1495828375,6,2
1495832185,2,1
1495836144,4,2
1495839878,8,7
1495843777,3,0
1495847592,8,4
1495851404,5,6
1495855269,4,3
1495859081,0,3
1495862958,4,2
1495866781,1,1
1495870614,4,2
1495874448,4,2
1495878284,0,8
1495882128,3,7
1495885961,0,5
1495889815,3,11
1495893917,2,1
1495897751,0,2
1495901583,4,2
1495905412,4,2
1495913102,6,2
1495916940,8,1
1495920788,1,0
1495924603,6,1
1495928469,1,2
1495932300,2,4
1495936143,2,4
1495939984,2,1
1495943829,1,2
1495947736,3,3
1495951497,6,3
1495955321,5,11
1495959180,3,1
1495962989,8,7
1495966879,6,8
1495970714,6,7
1495974545,4,10
1495978387,2,0
1495982219,2,2
1495986058,2,3
1495989898,2,5
1495993575,1,3
1495997341,5,3
1496001192,10,7
1496005384,5,3
1496009115,1,4
1496012923,0,1
1496016780,4,7
1496020888,2,4
1496024705,2,1
1496028520,4,3
1496032366,4,4
1496036233,6,5
1496040074,2,5
1496043912,4,8
1496047760,2,1
1496051590,7,1
1496055432,5,2
1496059453,1,3
1496063332,1,0
1496071139,6,4
1496074890,1,0
1496078714,2,2
1496082569,5,9
1496086394,6,2
1496090235,12,7
1496094089,4,2
1496097911,6,4
1496101754,3,0
1496105573,3,6
1496109405,2,2
1496113326,6,6
1496120933,2,2
1496124788,1,1
1496128618,2,8
1496132449,5,5
1496136302,2,7
1496140130,5,9
1496147818,3,7
1496151649,4,3
1496155483,1,1
1496159334,1,2
1496163181,2,3
1496167032,3,1
1496170958,5,3
1496174702,3,7
1496178527,0,1
1496182464,9,1
1496186229,3,2
1496190082,1,10
1496193920,4,6
1496197755,3,2
1496201587,0,2
1496205435,5,5
1496209265,4,3
1496213092,6,3
1496216944,2,7
1496220816,3,9
1496224622,2,1
1496228545,4,4
1496232308,7,5
1496236163,1,0
1496240242,2,2
1496244073,2,0
1496247886,3,0
1496252012,5,3
1496255850,4,1
1496259678,7,1
1496267339,1,1
1496271170,3,2
1496275036,3,2
1496278932,4,1
1496282707,5,7
1496286641,3,1
1496290459,1,0
1496294212,6,1
1496298235,4,2
1496301948,4,11
1496305772,3,5
1496309833,6,17
1496313697,3,2
1496317507,2,1
1496321330,3,4
1496325189,3,5
1496462929,7,2
1496467771,10,3
1496472602,8,4
1496476893,3,3
1496480715,4,4
1496484946,10,3
1496488842,4,4
1496493081,9,9
1496497157,10,7
1496500996,2,2
1496504688,2,2
1496508747,1,5
1496516714,9,21
1496520525,4,0
1496524212,4,6
1496527985,3,6
1496531823,4,4
1496535849,3,6
1496539712,0,2
1496543570,1,0
1496547415,3,7
1496551255,0,2
1496574283,25,34
1496578138,1,3
1496581975,6,13
1496585816,4,2
1496589670,3,3
1496593490,2,6
1496628111,34,16
1496639324,5,3
1496643177,7,6
1496689326,41,21
1496693100,10,2
1496704648,9,2
1496712304,1,5
1496719998,4,10
1496731503,4,7
1496739195,2,8
1496743052,1,3
1496750772,7,3
1496754548,1,5
1496758437,3,5
1496762476,3,5
1496766304,1,1
1496770439,3,7
1496774219,4,5
1496778060,10,2
1496781889,3,2
1496785753,9,5
1496789592,4,1
1496793437,3,3
1496797359,1,1
1496801097,4,5
1496804947,3,1
1496808921,5,9
1496812626,2,3
1496816479,5,4
1496820365,2,3
1496824141,0,1
1496827976,4,3
1496831807,8,5
1496835644,0,3
1496839480,2,2
1496843338,4,12
1496847201,3,2
1496851059,3,2
1496855085,1,2
1496862777,3,2
1496866600,4,3
1496870470,1,1
1496874308,1,1
1496878147,2,3
1496881992,5,3
1496885869,2,0
1496889666,1,0
1496893554,1,1
1496897349,3,1
1496901195,9,1
1496905051,3,1
1496908916,2,2
1496912708,1,2
1496916530,3,7
1496920392,3,0
1496924239,1,3
1496928067,5,2
1496931879,4,0
1496935733,2,1
1496939594,4,2
1496943723,5,9
1496947503,5,5
1496951327,7,8
1496955201,3,3
