DateTime,AddedIPs,RemovedIPs
1495457337,13,54
1495461169,15,62
1495464996,17,24
1495468920,12,11
1495472684,12,12
1495476523,106,62
1495480353,433,278
1495484192,426,440
1495488067,435,423
1495492182,434,433
1495495973,441,438
1495499806,432,438
1495503639,433,434
1495507481,442,434
1495511572,441,444
1495515412,435,439
1495519346,442,436
1495523084,188,443
1495526930,159,189
1495530843,173,159
1495534616,180,173
1495538454,49,180
1495542263,272,50
1495546126,253,272
1495549990,312,253
1495553802,397,301
1495557619,301,407
1495561466,236,229
1495565329,127,302
1495569168,57,4
1495573004,159,185
1495576919,109,95
1495580936,61,25
1495584763,314,111
1495588581,207,405
1495592456,436,211
1495596281,327,339
1495600128,252,428
1495603956,199,253
1495607801,153,199
1495611653,53,24
1495615480,49,6
1495619330,31,13
1495623177,357,167
1495627007,429,417
1495630741,432,434
1495634711,425,432
1495638516,406,403
1495642369,201,437
1495646190,204,202
1495650234,226,204
1495654126,205,225
1495657970,184,204
1495661809,294,184
1495665676,298,293
1495669499,272,280
1495673325,291,290
1495677175,254,293
1495681016,202,252
1495684918,215,204
1495688933,183,215
1495693038,43,24
1495696981,404,200
1495700711,316,406
1495704548,284,307
1495708382,213,294
1495712622,209,214
1495716295,103,113
1495720151,33,6
1495723980,16,6
1495727836,197,228
1495731769,303,205
1495735753,289,301
1495739600,422,289
1495743410,308,421
1495747239,305,309
1495751105,282,307
1495754954,194,279
1495758764,211,197
1495762606,184,210
1495766441,187,185
1495770280,216,187
1495774134,209,215
1495777975,245,209
1495781796,257,244
1495786157,402,256
1495789954,320,283
1495793818,366,368
1495797661,299,299
1495801495,59,66
1495805178,50,63
1495808939,23,37
1495812777,21,43
1495816614,201,362
1495820411,180,222
1495824297,256,180
1495827962,251,257
1495831983,259,250
1495835837,275,259
1495839730,270,275
1495843775,293,271
1495847588,113,84
1495851402,63,43
1495855266,34,24
1495859079,61,51
1495862955,171,166
1495866778,422,340
1495870612,438,441
1495874442,439,441
1495878281,216,223
1495882126,41,55
1495885959,14,26
1495889812,45,86
1495893915,26,42
1495897749,20,45
1495901581,51,114
1495905409,387,236
1495909262,400,401
1495913100,423,404
1495916937,330,331
1495920786,426,427
1495924600,323,322
1495928467,59,71
1495932297,44,59
1495936141,26,41
1495939982,99,105
1495943826,419,363
1495947734,429,436
1495951495,434,428
1495955318,47,52
1495959176,37,47
1495962987,47,105
1495966876,277,265
1495970711,414,350
1495974542,433,436
1495978385,189,201
1495982217,46,53
1495986056,64,69
1495989896,14,18
1495993572,388,363
1495997339,437,429
1496001188,432,435
1496005382,152,158
1496009112,29,35
1496012920,13,20
1496016778,23,41
1496020886,422,379
1496024701,443,442
1496028518,448,448
1496032364,38,44
1496036231,154,440
1496040067,162,156
1496043908,168,162
1496047756,176,169
1496051586,147,175
1496055430,147,146
1496059449,189,149
1496063329,160,189
1496067154,102,127
1496071134,179,132
1496074886,61,109
1496078712,115,105
1496082564,84,31
1496086390,136,101
1496090231,145,227
1496094084,40,21
1496097907,45,23
1496101750,124,106
1496105567,111,143
1496109403,13,5
1496113322,171,182
1496117102,158,172
1496120929,185,159
1496124783,137,185
1496128612,71,24
1496132445,33,11
1496136295,31,10
1496140127,29,17
1496143989,18,10
1496147814,13,10
1496151645,17,25
1496155481,64,68
1496159330,177,220
1496163177,191,195
1496167028,234,192
1496170955,212,234
1496174699,185,212
1496178524,190,184
1496182461,249,191
1496186225,268,249
1496190078,277,269
1496193915,284,277
1496197752,272,284
1496201583,286,270
1496205430,295,288
1496209261,326,294
1496213088,431,308
1496216938,271,449
1496220808,290,271
1496224617,271,290
1496228540,291,271
1496232304,289,291
1496236157,278,287
1496240235,444,280
1496244071,444,441
1496247882,288,444
1496252005,293,290
1496255843,303,294
1496259672,288,303
1496263511,370,288
1496267337,278,368
1496271165,289,280
1496275030,295,288
1496278929,295,296
1496282703,288,293
1496286635,283,289
1496290456,288,284
1496294209,386,273
1496298231,286,401
1496301944,278,287
1496305767,310,278
1496309829,305,309
1496313693,345,303
1496317504,441,344
1496321326,413,418
1496325185,438,432
1496462907,438,444
1496467766,282,440
1496472583,294,282
1496476877,300,282
1496480692,266,283
1496484926,284,279
1496488836,288,298
1496493065,269,289
1496497140,223,258
1496500982,175,212
1496504675,137,147
1496508729,281,185
1496516711,333,281
1496520523,429,328
1496524209,331,325
1496527982,16,25
1496531820,52,66
1496535847,16,31
1496539707,253,272
1496543567,416,359
1496547412,436,436
1496551252,388,388
1496574281,173,267
1496578135,19,34
1496581973,22,51
1496585814,22,53
1496589668,23,25
1496593488,13,33
1496628108,190,217
1496639321,56,47
1496643175,15,7
1496689319,238,233
1496693094,221,246
1496696935,214,222
1496704641,234,213
1496712299,288,234
1496716141,258,288
1496719995,368,258
1496723841,288,363
1496731498,225,289
1496739185,438,227
1496743033,407,400
1496750763,200,447
1496754545,354,158
1496758426,375,334
1496762473,230,434
1496766300,212,231
1496770427,236,212
1496774215,370,215
1496778056,382,341
1496781885,376,369
1496785748,400,408
1496789588,371,366
1496793428,383,380
1496797353,378,379
1496801091,402,398
1496804939,351,353
1496808887,244,439
1496812622,214,246
1496816474,206,215
1496820352,244,204
1496824136,153,245
1496827973,167,154
1496831804,145,166
1496835640,139,146
1496839476,151,138
1496843331,152,150
1496847197,225,155
1496851048,448,225
1496855080,360,447
1496858995,294,361
1496862765,310,293
1496866596,159,308
1496870466,155,160
1496874304,29,16
1496878144,51,19
1496881988,130,154
1496885866,161,174
1496889663,273,164
1496893529,439,274
1496897345,284,437
1496901190,284,284
1496905046,277,284
1496908913,163,278
1496912704,178,164
1496916526,156,177
1496920388,101,74
1496924235,189,182
1496928063,169,189
1496931875,166,169
1496935728,450,167
1496939588,441,447
1496943718,440,441
1496947498,419,431
1496951322,395,387
1496955197,436,431
1496959049,159,176
1496962928,23,39
1496966702,163,410
1496970544,162,165
1496974373,167,160
1496978217,246,167
1496982075,292,246
1496985876,258,288
1496989842,277,263
1496997417,437,272
1497001255,36,45
1497008926,46,91
1497020576,189,263
1497024289,434,300
1497031979,441,444
1497035801,436,437
1497039908,432,437
1497043737,21,29
1497051409,66,91
1497055257,7,15
1497059091,28,44
1497062927,426,360
1497070618,434,440
1497074572,441,439
1497078290,68,79
1497085974,55,94
1497089810,23,38
1497093674,361,315
1497097499,420,407
1497101586,424,424
1497113068,192,233
1497116930,32,71
1497128539,368,299
1497132292,405,390
1497136136,430,429
1497139968,374,383
1497143810,396,388
1497151478,208,231
1497159432,39,110
1497167068,343,292
1497170928,415,386
1497174764,421,420
1497178607,419,421
1497182600,156,171
1497186285,11,29
1497190115,15,51
1497201664,394,334
1497205571,412,408
1497209337,412,410
1497224674,303,386
1497228533,17,77
1497232355,150,169
1497236203,278,241
1497240132,266,294
1497244005,297,267
1497247755,203,298
1497251590,162,202
1497255670,161,160
1497259507,135,162
1497263335,165,131
1497267206,243,169
1497271048,253,246
1497274955,259,250
1497278694,251,262
1497282537,146,193
1497286391,88,165
1497290640,102,97
1497294624,142,131
1497298378,35,7
1497302488,316,110
1497306302,278,364
1497310384,343,289
1497314214,341,267
1497318071,309,320
1497321910,138,322
1497325745,78,138
1497329569,29,15
1497333417,158,175
1497337307,141,157
1497341110,175,143
1497344960,161,175
1497348793,152,132
1497352612,60,85
1497356481,16,23
1497360293,47,26
1497364274,13,9
1497367982,16,15
1497371820,28,39
1497375652,8,11
1497379391,20,11
1497383095,59,31
1497386943,122,176
1497390784,177,145
1497394608,168,175
1497402648,253,167
1497406478,292,255
1497410225,279,291
1497414047,33,281
1497417862,288,34
1497421723,266,288
1497425561,235,265
1497429406,254,235
1497433244,245,256
1497437076,264,245
1497440924,253,261
1497444770,261,255
1497448590,287,261
1497452552,262,286
1497456280,264,262
1497460172,391,236
1497479312,242,418
1497483175,315,243
1497490858,168,312
1497494662,141,170
1497498506,157,138
1497502370,156,159
1497506190,302,157
1497510074,414,299
1497513907,403,409
1497517713,216,247
1497521571,131,365
1497525393,155,140
1497529269,137,159
1497533078,155,138
1497536919,327,156
1497540790,327,324
