DateTime,Entries,UniqueIPs
1495387972,140,140
1495391700,141,141
1495395805,142,142
1495399744,142,142
1495418920,143,143
1495422768,142,142
1495426586,142,142
1495430463,142,142
1495434289,141,141
1495438144,144,144
1495441993,144,144
1495445817,146,146
1495449653,147,147
1495453498,144,144
1495457347,141,141
1495461179,141,141
1495465007,138,138
1495468939,140,140
1495472694,140,140
1495476532,142,142
1495480366,142,142
1495484205,141,141
1495488076,143,143
1495492191,142,142
1495495985,143,143
1495499818,140,140
1495503647,139,139
1495507493,138,138
1495511587,139,139
1495515437,139,139
1495519382,141,141
1495523096,139,139
1495526942,147,147
1495530863,144,144
1495534644,144,144
1495542267,20,20
1495546131,34,34
1495549996,48,48
1495553806,52,52
1495557626,60,60
1495561471,64,64
1495565334,69,69
1495569173,79,79
1495573009,84,84
1495576927,93,93
1495580946,98,98
1495584771,102,102
1495588589,106,106
1495592465,111,111
1495596289,113,113
1495600134,127,127
1495603963,138,138
1495607810,146,146
1495611659,146,146
1495615487,145,145
1495619338,147,147
1495623187,141,141
1495627016,139,139
1495630755,139,139
1495634733,135,135
1495638528,133,133
1495642379,136,136
1495646198,133,133
1495650243,129,129
1495654136,131,131
1495657980,132,132
1495661818,131,131
1495665686,131,131
1495669512,136,136
1495673332,138,138
1495677183,134,134
1495681023,131,131
1495684925,130,130
1495688940,135,135
1495693045,139,139
1495696990,139,139
1495700720,141,141
1495704558,143,143
1495708391,144,144
1495712629,143,143
1495716306,141,141
1495720159,136,136
1495723992,133,133
1495727848,133,133
1495731792,134,134
1495735768,136,136
1495739614,135,135
1495743421,133,133
1495747251,129,129
1495751115,132,132
1495754963,131,131
1495758773,133,133
1495762616,130,130
1495766454,127,127
1495770288,125,125
1495774144,124,124
1495777986,124,124
1495781806,123,123
1495786172,127,127
1495789963,127,127
1495793831,131,131
1495797670,130,130
1495801505,128,128
1495805188,129,129
1495808951,129,129
1495812785,132,132
1495816622,132,132
1495820421,131,131
1495824309,132,132
1495828383,131,131
1495832194,127,127
1495836151,130,130
1495839884,131,131
1495843784,132,132
1495847598,136,136
1495851410,133,133
1495855275,134,134
1495859086,134,134
1495862964,130,130
1495866785,131,131
1495870619,131,131
1495874453,134,134
1495878291,131,131
1495882132,127,127
1495885966,127,127
1495889820,132,132
1495893921,128,128
1495897756,128,128
1495901590,127,127
1495905418,124,124
1495909269,123,123
1495913108,124,124
1495916946,123,123
1495920793,121,121
1495924607,121,121
1495928474,121,121
1495932306,118,118
1495936148,113,113
1495939989,117,117
1495943836,116,116
1495947741,118,118
1495951503,117,117
1495955325,114,114
1495959190,117,117
1495962993,115,115
1495966884,117,117
1495970718,116,116
1495974549,118,118
1495978392,117,117
1495982224,117,117
1495986063,113,113
1495993580,115,115
1495997347,114,114
1496001198,113,113
1496005390,111,111
1496009121,111,111
1496012928,113,113
1496016786,113,113
1496020894,115,115
1496024714,118,118
1496028526,118,118
1496032371,116,116
1496036241,115,115
1496040088,118,118
1496043920,119,119
1496047768,124,124
1496051598,125,125
1496055440,125,125
1496059461,121,121
1496063337,118,118
1496067163,112,112
1496071145,115,115
1496074899,116,116
1496078726,115,115
1496082581,115,115
1496086402,117,117
1496090244,123,123
1496094101,121,121
1496097920,121,121
1496101763,119,119
1496105581,121,121
