DateTime,AddedIPs,RemovedIPs
1493908381,4,0
1493915581,4,1
1493919181,10,0
1493922782,0,1
1493926381,1,0
1493929981,3,3
1493937181,2,1
1493947981,2,1
1493955183,1,0
1493965981,0,1
1493969581,2,0
1493980381,1,0
1493991181,2,1
1493994781,3,0
1493998381,0,2
1494001981,1,0
1494012781,1,0
1494016381,1,0
1494023582,1,1
1494034382,1,1
1494045182,0,2
1494048781,1,1
1494052381,0,1
1494066781,4,0
1494081181,1,0
1494088381,1,0
1494091982,1,1
1494099181,1,1
1494106381,0,1
1494109981,1,0
1494135181,0,1
1494138781,0,1
1494156781,1,1
1494171181,1,0
1494178381,1,0
1494181981,0,1
1494189181,0,1
1494214381,0,1
1494235981,3,0
1494239581,0,2
1494243182,1,0
1494246781,2,0
1494250381,0,2
1494257581,1,0
1494264781,1,0
1494271981,0,1
1494275581,2,0
1494279181,2,1
1494304381,0,2
1494307981,3,0
1494315181,0,1
1494318782,0,1
1494322381,1,0
1494329581,1,1
1494336781,0,1
1494340382,2,0
1494343981,2,2
1494347581,3,0
1494354781,1,0
1494372781,0,1
1494376381,0,1
1494379981,1,1
1494394381,0,1
1494405181,1,1
1494408781,0,1
1494415981,2,0
1494423181,1,0
1494426781,0,1
1494433981,0,2
1494437582,1,0
1494441181,0,1
1494448381,0,1
1494451981,0,3
1494459181,1,0
1494466381,1,0
1494469981,1,0
1494473581,0,1
1494477181,0,2
1494480781,2,0
1494487984,2,0
1494495181,0,1
1494498781,0,4
1494505981,0,2
1494513181,0,1
1494516781,0,3
1494520381,0,6
1494531181,3,0
1494534781,0,6
1494541981,1,0
1494545581,1,0
1494549181,0,2
1494552781,1,0
1494556381,1,1
1494567181,1,0
1494574381,0,1
1494585181,1,0
1494592381,0,2
1494595981,1,0
1494599581,2,0
1494606781,2,3
1494621181,0,1
1494624781,0,1
1494631981,0,1
1494635581,1,0
1494649981,1,0
1494660781,0,1
1494664381,0,1
1494667981,1,0
1494671581,1,0
1494679827,1,1
1494685981,1,0
1494700381,1,0
1494711181,0,1
1494721981,7,0
1494729181,0,1
1494739981,1,0
1494754381,1,0
1494765181,1,1
1494775981,1,0
1494779581,0,3
1494783181,1,1
1494790382,0,1
1494797582,0,1
1494822781,0,1
1494826381,0,2
1494829981,1,0
1494833581,1,0
1494840781,1,0
1494844381,2,3
1494847981,2,0
1494855182,2,1
1494858781,1,1
1494865981,2,0
1494869581,0,4
1494873181,0,1
1494876781,0,1
1494891181,0,1
1494905582,0,1
1494930781,2,2
1494941581,2,2
1494945182,1,0
1494948781,0,1
1494952381,1,0
1494955981,3,3
1494959581,0,1
1494963181,2,0
1494966782,1,1
1494973981,0,1
1494977582,1,0
1494981181,0,2
1494984781,1,1
1494988381,1,0
1494999181,1,0
1495006385,0,1
1495020781,0,2
1495024381,0,1
1495038782,0,1
1495045981,0,1
1495056781,0,1
1495074781,1,1
1495078382,1,2
1495092781,0,3
1495096382,1,0
1495099981,2,2
1495110781,1,0
1495121581,2,0
1495125627,1,0
1495132381,1,1
1495135982,1,0
1495139581,1,2
1495150382,0,2
1495157581,0,1
1495168381,1,0
1495175581,1,0
1495179181,4,0
1495186381,1,0
1495189981,4,2
1495193581,2,0
1495200781,0,1
1495204381,1,0
1495207981,0,1
1495211581,1,2
1495215181,1,0
1495218781,1,0
1495222381,1,1
1495229581,0,1
1495233182,2,0
1495254781,0,1
1495265582,1,0
1495276382,1,0
1495279981,0,1
1495283581,1,0
1495290781,0,1
1495294381,1,0
1495305181,1,0
1495308781,2,1
1495315981,1,0
1495326781,0,1
1495337581,0,2
1495341181,1,0
1495348381,1,1
1495351981,1,0
1495355581,2,0
1495373581,0,1
1495377182,1,0
1495384381,1,0
1495387983,0,1
1495391582,2,0
1495398781,0,3
1495402381,0,1
1495405982,2,0
1495413181,0,1
1495416781,1,0
1495423982,1,0
1495441981,1,0
1495445581,0,3
1495459982,0,1
1495467182,0,2
1495470782,0,1
1495481581,2,0
1495485181,2,3
1495488781,1,0
1495495981,0,1
1495506781,0,1
1495510381,1,0
1495517581,1,0
1495524781,1,0
1495528381,1,0
1495531982,1,1
1495539181,1,0
1495571581,1,3
1495575181,1,1
1495582381,0,1
1495585982,1,0
1495593181,1,0
1495596782,2,0
1495607581,0,1
1495614782,1,0
1495618381,1,0
1495621981,0,1
1495629181,0,1
1495654381,0,1
1495661581,0,2
1495665181,1,0
1495668781,10,0
1495686781,1,0
1495690381,0,1
1495697581,0,1
1495704781,1,0
1495711981,0,1
1495715582,0,1
1495722781,1,2
1495726381,2,2
1495737181,0,1
1495744381,1,0
1495751581,0,1
1495758781,1,3
1495769581,1,0
1495773181,1,0
1495780382,0,2
1495787581,1,2
1495794781,0,3
1495798381,4,0
1495805581,0,2
1495812781,1,0
1495816382,0,1
1495819981,0,3
1495823581,2,0
1495827181,1,0
1495830781,0,3
1495837981,2,0
1495866781,0,1
1495873981,1,0
1495877581,2,0
1495881181,1,0
1495888381,1,0
1495891981,1,0
1495906828,1,2
1495909982,0,2
1495927981,0,2
1495935181,1,1
1495942381,1,0
1495945981,1,0
1495956781,0,1
1495971181,1,0
1495974781,0,2
1495985581,1,0
1495992781,1,0
1495996381,0,3
1495999982,0,1
1496010781,1,1
1496014381,1,1
1496028781,0,2
1496032381,0,1
1496046781,0,3
1496050382,0,1
1496064781,0,1
1496079181,0,1
1496089981,2,0
1496093582,0,2
1496100781,1,0
1496104381,1,0
1496115181,0,1
1496133181,1,0
1496140382,0,2
1496147581,1,0
1496154781,0,7
1496158381,1,0
1496172781,1,0
1496183582,0,3
1496197981,0,2
1496205181,1,0
1496208781,0,2
1496219581,1,0
1496230381,0,2
1496233981,1,0
1496244781,1,0
1496259181,1,1
1496262781,0,1
1496273581,1,1
1496280781,1,0
1496284381,0,1
1496291581,1,0
1496295181,0,3
1496298781,1,0
1496305981,0,1
1496309581,0,1
1496323982,0,1
1496331181,2,0
1496334781,1,0
1496338381,0,1
1496341981,1,0
1496347227,0,1
1496352781,1,0
1496356381,0,2
1496359982,0,1
1496367181,1,2
1496377981,0,2
1496381581,1,0
1496385181,2,0
1496388782,1,0
1496392381,1,0
1496403181,0,1
1496406781,1,1
1496413981,1,3
1496421181,2,0
1496424781,0,2
1496428381,1,0
1496439181,2,0
1496446381,0,1
1496449981,2,0
1496467981,0,2
1496471581,1,1
1496478782,0,1
1496489581,0,1
1496493181,0,1
1496496781,0,2
1496503981,1,0
1496511181,0,1
1496518381,1,0
1496532781,1,0
1496536381,1,0
1496539981,1,0
1496557981,1,0
1496572381,0,1
1496575982,0,1
1496583181,0,1
1496604781,1,0
1496622781,1,1
1496680381,0,1
1496701981,1,0
1496709181,1,1
1496716381,0,1
1496730781,1,0
1496734381,1,0
1496737981,0,1
1496741581,0,1
1496748782,1,0
1496755981,1,0
1496763181,0,1
1496766781,0,1
1496770382,2,0
1496773981,1,0
1496777582,2,0
1496781181,1,0
1496788381,1,0
1496791981,0,1
1496802781,1,0
1496809982,0,1
1496824382,0,1
1496827981,0,1
1496831581,0,1
1496842381,0,2
1496845982,1,0
1496853181,1,0
1496856781,2,1
1496867581,0,2
1496874781,1,0
1496889182,0,2
1496892781,0,1
1496907181,1,1
1496910781,1,1
1496914381,1,0
1496932381,1,0
1496943181,1,0
1496946781,0,1
1496961181,0,2
1496968381,0,1
1496975581,0,1
1496989981,0,2
1497018781,1,0
1497025981,0,2
1497029581,1,2
1497040381,0,2
1497047581,0,1
1497069182,0,1
1497072781,2,0
1497076381,1,0
1497079981,0,1
1497105181,1,0
1497115981,0,1
1497130381,0,1
1497141182,0,1
1497162781,1,0
1497166381,0,1
1497169981,1,0
1497173581,1,0
1497177181,1,0
1497191581,0,1
1497198781,2,0
1497202381,1,0
1497220381,2,0
1497223981,0,2
1497234781,1,1
1497252781,0,1
1497256382,0,2
1497267181,0,1
1497285181,1,0
1497288781,0,2
1497295981,0,1
1497306781,0,1
1497317581,1,1
1497321181,0,1
1497328381,2,0
1497335581,0,1
1497339181,2,0
1497346382,0,1
1497349981,0,2
1497353581,0,1
1497364381,0,2
1497371581,1,1
1497378781,0,1
1497382382,0,1
1497396781,0,1
1497403981,1,1
1497414781,0,1
1497421981,0,2
1497425582,2,1
1497436381,1,1
1497443581,1,0
1497457981,0,2
1497468782,0,1
1497475981,0,2
1497508381,1,0
1497511981,1,0
1497519181,0,1
1497522781,0,1
1497526381,1,0
1497529981,2,0
1497533581,1,0
1497544381,1,1
1497547981,1,0
1497558781,2,1
1497562382,0,1
1497573181,1,0
1497587582,1,1
1497598381,1,0
1497612781,1,0
1497630781,1,0
1497634381,1,2
1497637981,1,1
1497645181,0,1
1497652381,2,0
1497677581,1,0
1497681181,1,0
1497688381,2,0
1497699181,0,2
1497713581,2,0
1497724381,1,0
1497731581,1,0
